ENSHGLG00000002435	4930453N24RIK
ENSHGLG00000009458	NR2F1
ENSHGLG00000009459	IGFBP5
ENSHGLG00000009461	TNNI3
ENSHGLG00000009462	GABPA
ENSHGLG00000009464	TSTA3
ENSHGLG00000009465	TBC1D19
ENSHGLG00000009467	MMP24
ENSHGLG00000009468	YWHAB
ENSHGLG00000009469	BFSP1
ENSHGLG00000009470	MRPL12
ENSHGLG00000009471	RAE1
ENSHGLG00000009473	LRRC72
ENSHGLG00000009474	MCEE
ENSHGLG00000009476	RAB36
ENSHGLG00000009477	TPH2
ENSHGLG00000009478	NOL6
ENSHGLG00000009479	FOXK2
ENSHGLG00000009480	TRIQK
ENSHGLG00000009483	SH3GL3
ENSHGLG00000009484	SUSD2
ENSHGLG00000009485	CLEC7A
ENSHGLG00000009486	RPL37
ENSHGLG00000009487	NBN
ENSHGLG00000009492	STK33
ENSHGLG00000009493	SUSD6
ENSHGLG00000009494	SLC37A3
ENSHGLG00000009495	FBXW8
ENSHGLG00000009496	DDX11
ENSHGLG00000009500	IL2RA
ENSHGLG00000009503	RPS27A
ENSHGLG00000009505	HNF4A
ENSHGLG00000009506	TAOK1
ENSHGLG00000009507	WARS2
ENSHGLG00000009510	AATF
ENSHGLG00000009512	MFNG
ENSHGLG00000009514	QPRT
ENSHGLG00000009515	LINGO4
ENSHGLG00000009516	SLC39A14
ENSHGLG00000009517	TMEM161A
ENSHGLG00000009519	OXSR1
ENSHGLG00000009520	SIPA1
ENSHGLG00000009521	ABCD3
ENSHGLG00000009522	ATP5A1
ENSHGLG00000009524	LHX4
ENSHGLG00000009527	SPRN
ENSHGLG00000009528	RIPK2
ENSHGLG00000009529	CHMP2A
ENSHGLG00000009530	CACNA2D4
ENSHGLG00000009532	SPEM1
ENSHGLG00000009533	TDG
ENSHGLG00000009534	KREMEN2
ENSHGLG00000009535	TMEM62
ENSHGLG00000009536	ALK
ENSHGLG00000009537	VPS16
ENSHGLG00000009538	WDR54
ENSHGLG00000009539	ASGR2
ENSHGLG00000009541	SF1
ENSHGLG00000009542	SH3PXD2B
ENSHGLG00000009545	MRPL19
ENSHGLG00000009547	GRWD1
ENSHGLG00000009548	PPM1J
ENSHGLG00000009549	HSD17B11
ENSHGLG00000009550	COPRS
ENSHGLG00000009552	RNF40
ENSHGLG00000009554	PRR16
ENSHGLG00000009555	FBXO39
ENSHGLG00000009556	LMO2
ENSHGLG00000009557	OTUB2
ENSHGLG00000009558	MSRB2
ENSHGLG00000009561	CHMP6
ENSHGLG00000009562	SWAP70
ENSHGLG00000009566	LUM
ENSHGLG00000009569	KAT5
ENSHGLG00000009570	NDUFS8
ENSHGLG00000009571	S100A16
ENSHGLG00000009574	ARRDC3
ENSHGLG00000009575	COMP
ENSHGLG00000009577	ANGEL2
ENSHGLG00000009578	SHISA2
ENSHGLG00000009582	RPS12
ENSHGLG00000009583	PROCR
ENSHGLG00000009584	YPEL5
ENSHGLG00000009585	XYLT1
ENSHGLG00000009586	C1QBP
ENSHGLG00000009587	CCDC137
ENSHGLG00000009589	CHST9
ENSHGLG00000009590	HIRIP3
ENSHGLG00000009591	ETV6
ENSHGLG00000009595	COPS2
ENSHGLG00000009596	QPCTL
ENSHGLG00000009597	CLVS1
ENSHGLG00000009598	STYK1
ENSHGLG00000009599	VWA3A
ENSHGLG00000009600	MYH9
ENSHGLG00000009601	BANP
ENSHGLG00000009602	ANPEP
ENSHGLG00000009604	CASQ2
ENSHGLG00000009606	DENR
ENSHGLG00000009607	FAU
ENSHGLG00000009610	DLX2
ENSHGLG00000009612	APH1A
ENSHGLG00000009614	FAM151B
ENSHGLG00000009615	SLC17A2
ENSHGLG00000009617	MGST1
ENSHGLG00000009618	KRT34
ENSHGLG00000009621	ST8SIA1
ENSHGLG00000009622	GCHFR
ENSHGLG00000009623	KCNE1
ENSHGLG00000009624	ETS1
ENSHGLG00000009625	HPF1
ENSHGLG00000009627	VPS9D1
ENSHGLG00000009628	KPNA7
ENSHGLG00000009629	N4BP2
ENSHGLG00000009630	SIX6
ENSHGLG00000009631	PADI1
ENSHGLG00000009632	RILP
ENSHGLG00000009635	WDR81
ENSHGLG00000009636	PPP1R35
ENSHGLG00000009637	P2RY6
ENSHGLG00000009638	CXCL17
ENSHGLG00000009642	FOS
ENSHGLG00000009643	NUAK1
ENSHGLG00000009645	CCT6A
ENSHGLG00000009646	TBR1
ENSHGLG00000009647	STK11IP
ENSHGLG00000009648	PROP1
ENSHGLG00000009651	ACTB
ENSHGLG00000009652	MEST
ENSHGLG00000009653	ENO3
ENSHGLG00000009654	SLX4IP
ENSHGLG00000009656	UBE2D1
ENSHGLG00000009658	TMEM262
ENSHGLG00000009659	NECAB3
ENSHGLG00000009660	HUS1
ENSHGLG00000009662	MYO1F
ENSHGLG00000009664	PRDM2
ENSHGLG00000009665	KRTCAP3
ENSHGLG00000009666	SCRT1
ENSHGLG00000009667	ABCC6
ENSHGLG00000009670	PTGR2
ENSHGLG00000009671	SBDS
ENSHGLG00000009672	SLC29A4
ENSHGLG00000009673	PTCH1
ENSHGLG00000009674	TBC1D17
ENSHGLG00000009675	SLC10A1
ENSHGLG00000009677	PRTG
ENSHGLG00000009680	OSBPL5
ENSHGLG00000009684	SLITRK4
ENSHGLG00000009686	FBL
ENSHGLG00000009687	TMEM182
ENSHGLG00000009688	DOCK6
ENSHGLG00000009689	SLAMF8
ENSHGLG00000009690	DYNLRB2
ENSHGLG00000009692	SYT11
ENSHGLG00000009695	ITGAD
ENSHGLG00000009696	CCDC177
ENSHGLG00000009697	MIEN1
ENSHGLG00000009701	EMP3
ENSHGLG00000009702	TOMM40L
ENSHGLG00000009704	FIBP
ENSHGLG00000009706	PURB
ENSHGLG00000009710	PSMD6
ENSHGLG00000009712	RECQL
ENSHGLG00000009713	MYD88
ENSHGLG00000009714	MR1
ENSHGLG00000009715	PLK1
ENSHGLG00000009716	KNTC1
ENSHGLG00000009717	OLFML3
ENSHGLG00000009718	SEC61G
ENSHGLG00000009719	UNC5D
ENSHGLG00000009720	TRIM21
ENSHGLG00000009724	GABARAPL2
ENSHGLG00000009725	CLCF1
ENSHGLG00000009726	TTC9
ENSHGLG00000009727	PAQR5
ENSHGLG00000009732	G6PC
ENSHGLG00000009735	IL17D
ENSHGLG00000009739	PCDHB6
ENSHGLG00000009744	HTRA2
ENSHGLG00000009746	CINP
ENSHGLG00000009747	FAM76A
ENSHGLG00000009748	SPAG7
ENSHGLG00000009751	AHCY
ENSHGLG00000009752	SPPL2A
ENSHGLG00000009755	BGLAP
ENSHGLG00000009757	PLEKHG3
ENSHGLG00000009758	EHF
ENSHGLG00000009759	AGAP2
ENSHGLG00000009760	RAB4A
ENSHGLG00000009761	LMNA
ENSHGLG00000009762	MAP2
ENSHGLG00000009763	MGAM
ENSHGLG00000009765	ANKRD34B
ENSHGLG00000009767	HMGXB3
ENSHGLG00000009768	TEF
ENSHGLG00000009769	DAPK3
ENSHGLG00000009770	MPP2
ENSHGLG00000009772	ADCY1
ENSHGLG00000009773	ERAL1
ENSHGLG00000009775	GATA1
ENSHGLG00000009776	FBXO2
ENSHGLG00000009777	AP3S2
ENSHGLG00000009780	UBXN4
ENSHGLG00000009781	HOXB1
ENSHGLG00000009783	ABCG1
ENSHGLG00000009784	KIF23
ENSHGLG00000009785	EFHC1
ENSHGLG00000009788	RETSAT
ENSHGLG00000009789	POR
ENSHGLG00000009790	TNNT1
ENSHGLG00000009791	SRP72
ENSHGLG00000009793	MYO3B
ENSHGLG00000009794	PDPK1
ENSHGLG00000009795	PREX2
ENSHGLG00000009797	FSBP
ENSHGLG00000009798	ACSM4
ENSHGLG00000009799	CPT1A
ENSHGLG00000009801	TRPM3
ENSHGLG00000009804	STAC2
ENSHGLG00000009805	EEF2K
ENSHGLG00000009806	FANK1
ENSHGLG00000009808	STK32C
ENSHGLG00000009810	DENND4A
ENSHGLG00000009811	ASPH
ENSHGLG00000009812	ATXN2
ENSHGLG00000009814	DLST
ENSHGLG00000009815	WIPF3
ENSHGLG00000009816	NPHP1
ENSHGLG00000009817	RARA
ENSHGLG00000009821	ARPP19
ENSHGLG00000009822	TNN
ENSHGLG00000009823	OAT
ENSHGLG00000009825	ING2
ENSHGLG00000009827	CNNM1
ENSHGLG00000009829	ORAOV1
ENSHGLG00000009830	RCAN1
ENSHGLG00000009831	NPTN
ENSHGLG00000009832	PSMD3
ENSHGLG00000009833	ACMSD
ENSHGLG00000009834	PPM1B
ENSHGLG00000009835	RENBP
ENSHGLG00000009836	NKX6-2
ENSHGLG00000009837	ATXN1L
ENSHGLG00000009840	APOC2
ENSHGLG00000009843	DYRK2
ENSHGLG00000009847	SOX30
ENSHGLG00000009848	MYL12B
ENSHGLG00000009850	PYCARD
ENSHGLG00000009851	RHOF
ENSHGLG00000009852	CDKN1B
ENSHGLG00000009854	COX19
ENSHGLG00000009855	SYT8
ENSHGLG00000009856	DHFR
ENSHGLG00000009857	PRUNE1
ENSHGLG00000009859	INPP5K
ENSHGLG00000009861	RPS6
ENSHGLG00000009862	TMED10
ENSHGLG00000009864	THAP11
ENSHGLG00000009865	RPL28
ENSHGLG00000009866	IRF2BP2
ENSHGLG00000009868	RFLNA
ENSHGLG00000009871	PYROXD2
ENSHGLG00000009872	LZTS1
ENSHGLG00000009873	PRLHR
ENSHGLG00000009876	EPHA8
ENSHGLG00000009879	ACTN2
ENSHGLG00000009880	IFIT2
ENSHGLG00000009883	LRRC24
ENSHGLG00000009885	DES
ENSHGLG00000009887	CHRNE
ENSHGLG00000009888	CMIP
ENSHGLG00000009889	DNAJC17
ENSHGLG00000009890	CISD3
ENSHGLG00000009891	LUZP1
ENSHGLG00000009892	DDX51
ENSHGLG00000009893	ACSF3
ENSHGLG00000009894	PCSK2
ENSHGLG00000009898	STK35
ENSHGLG00000009899	IGFBP4
ENSHGLG00000009901	EIF3G
ENSHGLG00000009904	RFX7
ENSHGLG00000009905	DNTT
ENSHGLG00000009906	SPR
ENSHGLG00000009907	KRT39
ENSHGLG00000009908	ATAD5
ENSHGLG00000009909	LDLRAD3
ENSHGLG00000009911	MTHFD1
ENSHGLG00000009912	GDPD5
ENSHGLG00000009913	MS4A12
ENSHGLG00000009914	CLP1
ENSHGLG00000009916	VAC14
ENSHGLG00000009919	STPG1
ENSHGLG00000009921	LAMA1
ENSHGLG00000009923	MAN1C1
ENSHGLG00000009924	SEMA6D
ENSHGLG00000009928	MRPL53
ENSHGLG00000009929	DNAJB2
ENSHGLG00000009930	INPP5F
ENSHGLG00000009931	TSPAN12
ENSHGLG00000009933	YTHDF2
ENSHGLG00000009935	NAT8L
ENSHGLG00000009937	FAM19A4
ENSHGLG00000009938	YARS2
ENSHGLG00000009939	WDR20
ENSHGLG00000009943	APC
ENSHGLG00000009944	FLRT2
ENSHGLG00000009946	BPIFB1
ENSHGLG00000009947	MED13
ENSHGLG00000009948	SLC26A3
ENSHGLG00000009949	GLP2R
ENSHGLG00000009951	NPAS4
ENSHGLG00000009952	DVL2
ENSHGLG00000009953	HES3
ENSHGLG00000009954	YTHDF3
ENSHGLG00000009955	DDX19B
ENSHGLG00000009958	GPR161
ENSHGLG00000009959	AP1G2
ENSHGLG00000009960	GRIN1
ENSHGLG00000009963	RPS15A
ENSHGLG00000009964	RAC1
ENSHGLG00000009965	SRGAP3
ENSHGLG00000009966	FRMD5
ENSHGLG00000009967	ARHGAP17
ENSHGLG00000009969	GPRIN3
ENSHGLG00000009970	CDK15
ENSHGLG00000009975	THSD1
ENSHGLG00000009980	PLBD2
ENSHGLG00000009982	NLGN3
ENSHGLG00000009984	TAZ
ENSHGLG00000009985	ZP2
ENSHGLG00000009986	MRPS28
ENSHGLG00000009987	NHLH2
ENSHGLG00000009989	MTG1
ENSHGLG00000009991	RBM4
ENSHGLG00000009992	SETD3
ENSHGLG00000009993	SHISA4
ENSHGLG00000009995	BATF
ENSHGLG00000009996	SMPD1
ENSHGLG00000009998	CCR7
ENSHGLG00000009999	DAAM1
ENSHGLG00000010000	STX1A
ENSHGLG00000010001	PPP3CC
ENSHGLG00000010005	STPG4
ENSHGLG00000010009	DNAAF2
ENSHGLG00000010011	TMEM145
ENSHGLG00000010013	PYROXD1
ENSHGLG00000010014	CCDC60
ENSHGLG00000010017	SYT12
ENSHGLG00000010019	FAM57B
ENSHGLG00000010021	ABR
ENSHGLG00000010024	DDX42
ENSHGLG00000010026	SAMD13
ENSHGLG00000010027	VAT1
ENSHGLG00000010031	TMC5
ENSHGLG00000010032	AKIRIN1
ENSHGLG00000010033	DUOX2
ENSHGLG00000010035	PARVA
ENSHGLG00000010036	MAP2K1
ENSHGLG00000010037	SETD7
ENSHGLG00000010038	PIK3CG
ENSHGLG00000010040	CCDC80
ENSHGLG00000010041	EPHB6
ENSHGLG00000010042	MTHFSD
ENSHGLG00000010044	RFESD
ENSHGLG00000010045	TERF2IP
ENSHGLG00000010047	P2RY4
ENSHGLG00000010048	MOGS
ENSHGLG00000010049	PET100
ENSHGLG00000010051	NRIP1
ENSHGLG00000010052	ALDH3B1
ENSHGLG00000010053	TRIM72
ENSHGLG00000010055	DENND6A
ENSHGLG00000010056	REEP2
ENSHGLG00000010061	DCXR
ENSHGLG00000010062	GLRA3
ENSHGLG00000010066	KRT33A
ENSHGLG00000010068	TMEM67
ENSHGLG00000010069	SYPL2
ENSHGLG00000010070	RPL13A
ENSHGLG00000010071	NFIX
ENSHGLG00000010072	SLC1A2
ENSHGLG00000010073	DLG4
ENSHGLG00000010074	MED23
ENSHGLG00000010075	CSF3
ENSHGLG00000010077	FAM210A
ENSHGLG00000010078	HYI
ENSHGLG00000010080	CDC42SE2
ENSHGLG00000010081	FABP3
ENSHGLG00000010083	ENDOU
ENSHGLG00000010086	KCTD13
ENSHGLG00000010087	ACER3
ENSHGLG00000010088	SNCB
ENSHGLG00000010090	HOXB2
ENSHGLG00000010091	SLC7A6OS
ENSHGLG00000010094	GOT1
ENSHGLG00000010095	PSPH
ENSHGLG00000010096	SNCA
ENSHGLG00000010100	ALPL
ENSHGLG00000010101	DPH1
ENSHGLG00000010102	FBXO41
ENSHGLG00000010104	ZFPM1
ENSHGLG00000010107	CHAF1B
ENSHGLG00000010108	DPP3
ENSHGLG00000010110	GABRA1
ENSHGLG00000010111	DHRS3
ENSHGLG00000010112	EDNRB
ENSHGLG00000010113	FAM222A
ENSHGLG00000010114	FBP1
ENSHGLG00000010115	BMP10
ENSHGLG00000010116	EMILIN1
ENSHGLG00000010119	NCAPH
ENSHGLG00000010120	ERBB2
ENSHGLG00000010121	ERLIN2
ENSHGLG00000010122	TNFSF12
ENSHGLG00000010123	GGT6
ENSHGLG00000010124	ANKRD50
ENSHGLG00000010128	IRGQ
ENSHGLG00000010130	HDHD2
ENSHGLG00000010132	LGMN
ENSHGLG00000010135	SF3B3
ENSHGLG00000010136	ADSSL1
ENSHGLG00000010137	ESR2
ENSHGLG00000010138	ATL3
ENSHGLG00000010139	CTSF
ENSHGLG00000010141	SCMH1
ENSHGLG00000010142	PPM1E
ENSHGLG00000010144	HSD3B7
ENSHGLG00000010145	GPR26
ENSHGLG00000010146	SPON1
ENSHGLG00000010147	SRSF5
ENSHGLG00000010148	CBARP
ENSHGLG00000010151	CCKAR
ENSHGLG00000010153	TMEM232
ENSHGLG00000010156	TRAP1
ENSHGLG00000010157	SZT2
ENSHGLG00000010160	MYH3
ENSHGLG00000010161	CYB5D1
ENSHGLG00000010162	MXD1
ENSHGLG00000010163	BMP7
ENSHGLG00000010164	HVCN1
ENSHGLG00000010167	GFRA1
ENSHGLG00000010168	CERS2
ENSHGLG00000010169	FKBP9
ENSHGLG00000010170	HOXA6
ENSHGLG00000010171	L2HGDH
ENSHGLG00000010172	SCRN3
ENSHGLG00000010173	HCFC2
ENSHGLG00000010174	PTN
ENSHGLG00000010175	COPS6
ENSHGLG00000010178	CCDC43
ENSHGLG00000010179	KSR1
ENSHGLG00000010180	CABP1
ENSHGLG00000010181	RAB42
ENSHGLG00000010183	AK9
ENSHGLG00000010184	NDUFS5
ENSHGLG00000010185	TCF7
ENSHGLG00000010187	TMEM102
ENSHGLG00000010188	EMP1
ENSHGLG00000010190	CLRN3
ENSHGLG00000010191	MGST2
ENSHGLG00000010192	SFRP5
ENSHGLG00000010195	CFAP73
ENSHGLG00000010199	CHST15
ENSHGLG00000010201	FDFT1
ENSHGLG00000010207	ERN1
ENSHGLG00000010208	NECAP2
ENSHGLG00000010209	PGM2L1
ENSHGLG00000010210	HNRNPL
ENSHGLG00000010211	AGRP
ENSHGLG00000010215	RPE65
ENSHGLG00000010216	PHPT1
ENSHGLG00000010218	MAF
ENSHGLG00000010219	SDHB
ENSHGLG00000010220	FAM45A
ENSHGLG00000010221	FAM131C
ENSHGLG00000010222	LGR4
ENSHGLG00000010223	LRRC59
ENSHGLG00000010224	LIPG
ENSHGLG00000010225	APBA2
ENSHGLG00000010227	PRKAA1
ENSHGLG00000010228	TMEM242
ENSHGLG00000010229	TBX4
ENSHGLG00000010230	EPHX4
ENSHGLG00000010231	CCDC151
ENSHGLG00000010233	NAGS
ENSHGLG00000010235	SH3TC2
ENSHGLG00000010237	YAE1D1
ENSHGLG00000010239	SLC44A3
ENSHGLG00000010241	AGO4
ENSHGLG00000010243	PDX1
ENSHGLG00000010245	TDP1
ENSHGLG00000010247	TAOK2
ENSHGLG00000010249	ADAMTSL2
ENSHGLG00000010251	ZDHHC20
ENSHGLG00000010253	R3HDML
ENSHGLG00000010254	EHD1
ENSHGLG00000010255	TUB
ENSHGLG00000010257	CRYBA1
ENSHGLG00000010259	SRA1
ENSHGLG00000010261	ZSWIM1
ENSHGLG00000010263	FADD
ENSHGLG00000010264	DHX35
ENSHGLG00000010267	ZMYND10
ENSHGLG00000010268	VEGFC
ENSHGLG00000010269	ZKSCAN1
ENSHGLG00000010271	SBK1
ENSHGLG00000010272	TRNP1
ENSHGLG00000010274	BMP4
ENSHGLG00000010275	MATN2
ENSHGLG00000010278	ATP5O
ENSHGLG00000010279	FAM102B
ENSHGLG00000010281	ICAM1
ENSHGLG00000010282	ZMYM1
ENSHGLG00000010284	CPLX2
ENSHGLG00000010285	PNRC2
ENSHGLG00000010286	CABIN1
ENSHGLG00000010287	SLC25A10
ENSHGLG00000010288	PIPOX
ENSHGLG00000010290	ISYNA1
ENSHGLG00000010291	UBE3B
ENSHGLG00000010292	EVA1A
ENSHGLG00000010295	BCR
ENSHGLG00000010299	CCDC91
ENSHGLG00000010300	KIF18A
ENSHGLG00000010301	KMO
ENSHGLG00000010305	RCAN3
ENSHGLG00000010306	NUDT9
ENSHGLG00000010307	HS3ST2
ENSHGLG00000010309	AIP
ENSHGLG00000010310	ECM1
ENSHGLG00000010311	EPB41L3
ENSHGLG00000010312	MSL1
ENSHGLG00000010313	BIRC5
ENSHGLG00000010314	SAP130
ENSHGLG00000010316	DUS1L
ENSHGLG00000010319	GPN1
ENSHGLG00000010323	ORC2
ENSHGLG00000010324	WNT9B
ENSHGLG00000010325	TMEM47
ENSHGLG00000010327	TPST2
ENSHGLG00000010328	VSTM2B
ENSHGLG00000010329	TRAPPC2L
ENSHGLG00000010330	PAH
ENSHGLG00000010331	REC114
ENSHGLG00000010332	UTP6
ENSHGLG00000010337	FAM117B
ENSHGLG00000010339	KLHL12
ENSHGLG00000010343	DRD2
ENSHGLG00000010345	CAMSAP1
ENSHGLG00000010346	CACNA2D3
ENSHGLG00000010347	DRG2
ENSHGLG00000010348	TMEM229B
ENSHGLG00000010351	PRDX5
ENSHGLG00000010353	WDR72
ENSHGLG00000010354	GPR108
ENSHGLG00000010355	SNAP23
ENSHGLG00000010358	FGD4
ENSHGLG00000010359	GPR137
ENSHGLG00000010362	PPEF2
ENSHGLG00000010363	DNAJC4
ENSHGLG00000010364	BCKDHA
ENSHGLG00000010369	TAF4
ENSHGLG00000010372	TXNDC11
ENSHGLG00000010375	RANGRF
ENSHGLG00000010376	P2RY2
ENSHGLG00000010378	EIF3L
ENSHGLG00000010380	TRNAU1AP
ENSHGLG00000010384	ITGA10
ENSHGLG00000010385	SETX
ENSHGLG00000010386	P2RX2
ENSHGLG00000010387	RBMS1
ENSHGLG00000010388	FAT3
ENSHGLG00000010389	CHTOP
ENSHGLG00000010391	HPS5
ENSHGLG00000010394	DUSP23
ENSHGLG00000010395	ENDOD1
ENSHGLG00000010396	VEZT
ENSHGLG00000010397	DYNLRB1
ENSHGLG00000010399	COX7A1
ENSHGLG00000010400	FAM175B
ENSHGLG00000010401	RNF24
ENSHGLG00000010403	RPS19BP1
ENSHGLG00000010404	CRK
ENSHGLG00000010405	UBR5
ENSHGLG00000010406	NFATC2
ENSHGLG00000010407	ERICH4
ENSHGLG00000010408	MYL2
ENSHGLG00000010409	PLK4
ENSHGLG00000010411	PWWP2A
ENSHGLG00000010412	MGRN1
ENSHGLG00000010413	TUBB4A
ENSHGLG00000010414	MORC1
ENSHGLG00000010416	OSBPL3
ENSHGLG00000010417	LUC7L3
ENSHGLG00000010418	PTGS1
ENSHGLG00000010419	ITGAX
ENSHGLG00000010420	CEP250
ENSHGLG00000010423	PARP10
ENSHGLG00000010424	ABCA2
ENSHGLG00000010425	BTAF1
ENSHGLG00000010426	OPRL1
ENSHGLG00000010427	ABCA13
ENSHGLG00000010428	ESRP2
ENSHGLG00000010429	KIFC3
ENSHGLG00000010430	MTF1
ENSHGLG00000010431	ITIH3
ENSHGLG00000010432	SON
ENSHGLG00000010438	APBB1
ENSHGLG00000010439	HEBP1
ENSHGLG00000010440	RPL3
ENSHGLG00000010444	LMBR1
ENSHGLG00000010445	CFDP1
ENSHGLG00000010446	LYPD6
ENSHGLG00000010447	WDR34
ENSHGLG00000010448	S100A9
ENSHGLG00000010449	FOCAD
ENSHGLG00000010450	TGFBR3L
ENSHGLG00000010454	EFCAB1
ENSHGLG00000010455	DDX46
ENSHGLG00000010458	KERA
ENSHGLG00000010459	ACTN3
ENSHGLG00000010462	SH2B3
ENSHGLG00000010464	DSN1
ENSHGLG00000010465	TCF24
ENSHGLG00000010467	PLA2G2E
ENSHGLG00000010470	TM6SF1
ENSHGLG00000010473	RNF215
ENSHGLG00000010475	EDEM2
ENSHGLG00000010476	LRRN3
ENSHGLG00000010478	CENPT
ENSHGLG00000010479	PPP1R15B
ENSHGLG00000010480	GPR19
ENSHGLG00000010483	MYL4
ENSHGLG00000010485	CTSW
ENSHGLG00000010489	VTI1B
ENSHGLG00000010490	NADSYN1
ENSHGLG00000010491	LATS1
ENSHGLG00000010492	IGF2BP1
ENSHGLG00000010493	INSIG2
ENSHGLG00000010494	NDUFV1
ENSHGLG00000010496	TMEM132A
ENSHGLG00000010498	PRSS16
ENSHGLG00000010499	RGR
ENSHGLG00000010500	LRAT
ENSHGLG00000010502	TPM3
ENSHGLG00000010504	PRPF31
ENSHGLG00000010506	MYH1
ENSHGLG00000010507	PCDH18
ENSHGLG00000010508	ARMC3
ENSHGLG00000010509	FGD6
ENSHGLG00000010510	MAP1A
ENSHGLG00000010512	FBXO38
ENSHGLG00000010513	TRAF6
ENSHGLG00000010514	TOR1B
ENSHGLG00000010515	RAB11FIP2
ENSHGLG00000010517	R3HCC1
ENSHGLG00000010518	NCLN
ENSHGLG00000010519	SMARCA4
ENSHGLG00000010521	PANK1
ENSHGLG00000010522	NUP98
ENSHGLG00000010523	HDAC6
ENSHGLG00000010524	MEGF8
ENSHGLG00000010526	ATP7B
ENSHGLG00000010527	CORO6
ENSHGLG00000010528	PLA2G4A
ENSHGLG00000010530	ARID1A
ENSHGLG00000010531	SRP68
ENSHGLG00000010532	ARAP1
ENSHGLG00000010533	SLIT2
ENSHGLG00000010536	IL18
ENSHGLG00000010538	ARL2
ENSHGLG00000010539	MPDU1
ENSHGLG00000010542	AMIGO3
ENSHGLG00000010543	TMEM220
ENSHGLG00000010544	SCEL
ENSHGLG00000010546	DGKB
ENSHGLG00000010547	RORA
ENSHGLG00000010548	BLMH
ENSHGLG00000010549	UCHL1
ENSHGLG00000010550	DDI2
ENSHGLG00000010551	FANCA
ENSHGLG00000010552	CDKL4
ENSHGLG00000010555	KCND2
ENSHGLG00000010556	SPAG9
ENSHGLG00000010557	ZDHHC7
ENSHGLG00000010558	TNFSF10
ENSHGLG00000010561	IFT88
ENSHGLG00000010562	NRP2
ENSHGLG00000010563	RCC1
ENSHGLG00000010565	PRRC2B
ENSHGLG00000010566	DPP6
ENSHGLG00000010567	MTHFD1L
ENSHGLG00000010568	HSPG2
ENSHGLG00000010569	CIT
ENSHGLG00000010571	MAP4K4
ENSHGLG00000010572	IFIT3
ENSHGLG00000010573	ANAPC5
ENSHGLG00000010574	DYNC2LI1
ENSHGLG00000010575	TMOD4
ENSHGLG00000010576	POLD4
ENSHGLG00000010577	KRT10
ENSHGLG00000010579	VPS13D
ENSHGLG00000010580	UNC79
ENSHGLG00000010581	MCC
ENSHGLG00000010582	SCAF4
ENSHGLG00000010584	TNFSF18
ENSHGLG00000010587	LSM7
ENSHGLG00000010588	HDC
ENSHGLG00000010590	PROK1
ENSHGLG00000010591	ABCB8
ENSHGLG00000010592	CRYBB1
ENSHGLG00000010595	DNAJC22
ENSHGLG00000010597	ZSWIM3
ENSHGLG00000010600	LOXL4
ENSHGLG00000010601	PAQR8
ENSHGLG00000010602	RP9
ENSHGLG00000010605	UBIAD1
ENSHGLG00000010606	TTC33
ENSHGLG00000010607	XIRP2
ENSHGLG00000010609	VSX2
ENSHGLG00000010610	ZFHX2
ENSHGLG00000010611	EPDR1
ENSHGLG00000010612	MYOT
ENSHGLG00000010613	TXNDC17
ENSHGLG00000010615	FOXI2
ENSHGLG00000010616	UBXN10
ENSHGLG00000010618	FOXF1
ENSHGLG00000010620	ADCY3
ENSHGLG00000010622	NANOS1
ENSHGLG00000010623	HCRT
ENSHGLG00000010624	OGFOD2
ENSHGLG00000010625	IST1
ENSHGLG00000010630	NCOA5
ENSHGLG00000010631	TSPAN13
ENSHGLG00000010635	HSPB7
ENSHGLG00000010636	SLC34A1
ENSHGLG00000010637	GRIN2D
ENSHGLG00000010638	LYL1
ENSHGLG00000010639	LPIN3
ENSHGLG00000010641	CBX2
ENSHGLG00000010643	BTBD16
ENSHGLG00000010644	ENTPD4
ENSHGLG00000010645	PROM2
ENSHGLG00000010646	AVPI1
ENSHGLG00000010649	ANKRD11
ENSHGLG00000010651	NEUROD2
ENSHGLG00000010654	FBLN7
ENSHGLG00000010655	NPRL2
ENSHGLG00000010656	ADRA1D
ENSHGLG00000010657	PARP16
ENSHGLG00000010658	FAM57A
ENSHGLG00000010659	LBH
ENSHGLG00000010660	TEFM
ENSHGLG00000010661	SLC25A26
ENSHGLG00000010663	PRKRA
ENSHGLG00000010664	HDGFRP3
ENSHGLG00000010666	CX3CL1
ENSHGLG00000010668	IL11
ENSHGLG00000010669	NIF3L1
ENSHGLG00000010670	SERPING1
ENSHGLG00000010671	VAT1L
ENSHGLG00000010672	LRFN3
ENSHGLG00000010673	MFAP3L
ENSHGLG00000010674	ADGRG3
ENSHGLG00000010675	ASPN
ENSHGLG00000010676	GMPPB
ENSHGLG00000010678	TMEM200C
ENSHGLG00000010679	GSX1
ENSHGLG00000010680	NUBP1
ENSHGLG00000010681	SAC3D1
ENSHGLG00000010682	YPEL3
ENSHGLG00000010683	NCEH1
ENSHGLG00000010685	HRK
ENSHGLG00000010686	HOXB3
ENSHGLG00000010687	WDR45B
ENSHGLG00000010688	LHFPL5
ENSHGLG00000010691	TUBA4A
ENSHGLG00000010693	TRABD2B
ENSHGLG00000010694	CBFB
ENSHGLG00000010697	MGP
ENSHGLG00000010698	IL17C
ENSHGLG00000010699	PRAME
ENSHGLG00000010701	WNT11
ENSHGLG00000010702	CLPP
ENSHGLG00000010703	GIP
ENSHGLG00000010707	ERH
