ENSMUSG00000059920.9	4930453N24RIK	ENSMUSG00000059920
ENSMUSG00000028710.16	ATPAF1	ENSMUSG00000028710
ENSMUSG00000028713.17	CYP4B1	ENSMUSG00000028713
ENSMUSG00000028716.15	PDZK1IP1	ENSMUSG00000028716
ENSMUSG00000028717.12	TAL1	ENSMUSG00000028717
ENSMUSG00000028718.16	STIL	ENSMUSG00000028718
ENSMUSG00000028730.14	CFAP57	ENSMUSG00000028730
ENSMUSG00000028736.13	PAX7	ENSMUSG00000028736
ENSMUSG00000028737.15	ALDH4A1	ENSMUSG00000028737
ENSMUSG00000028738.14	TAS1R2	ENSMUSG00000028738
ENSMUSG00000028741.13	MRTO4	ENSMUSG00000028741
ENSMUSG00000028745.18	CAPZB	ENSMUSG00000028745
ENSMUSG00000028747.10	HTR6	ENSMUSG00000028747
ENSMUSG00000028749.7	PLA2G2F	ENSMUSG00000028749
ENSMUSG00000028751.13	PLA2G2E	ENSMUSG00000028751
ENSMUSG00000028753.12	VWA5B1	ENSMUSG00000028753
ENSMUSG00000028755.3	CDA	ENSMUSG00000028755
ENSMUSG00000028756.12	PINK1	ENSMUSG00000028756
ENSMUSG00000028757.4	DDOST	ENSMUSG00000028757
ENSMUSG00000028758.12	KIF17	ENSMUSG00000028758
ENSMUSG00000028760.16	EIF4G3	ENSMUSG00000028760
ENSMUSG00000028763.17	HSPG2	ENSMUSG00000028763
ENSMUSG00000028766.10	ALPL	ENSMUSG00000028766
ENSMUSG00000028773.8	FABP3	ENSMUSG00000028773
ENSMUSG00000028776.14	TINAGL1	ENSMUSG00000028776
ENSMUSG00000028777.8	GNAT3	ENSMUSG00000028777
ENSMUSG00000028778.15	HCRTR1	ENSMUSG00000028778
ENSMUSG00000028779.16	PEF1	ENSMUSG00000028779
ENSMUSG00000028780.13	SEMA3C	ENSMUSG00000028780
ENSMUSG00000028782.14	ADGRB2	ENSMUSG00000028782
ENSMUSG00000028785.12	HPCA	ENSMUSG00000028785
ENSMUSG00000028786.15	TMEM54	ENSMUSG00000028786
ENSMUSG00000028788.14	PTP4A2	ENSMUSG00000028788
ENSMUSG00000028789.16	AZIN2	ENSMUSG00000028789
ENSMUSG00000028790.13	KHDRBS1	ENSMUSG00000028790
ENSMUSG00000028793.15	RNF19B	ENSMUSG00000028793
ENSMUSG00000028794.13	A3GALT2	ENSMUSG00000028794
ENSMUSG00000028795.15	CCDC28B	ENSMUSG00000028795
ENSMUSG00000028796.17	PHC2	ENSMUSG00000028796
ENSMUSG00000028797.20	TMEM234	ENSMUSG00000028797
ENSMUSG00000028798.16	EIF3I	ENSMUSG00000028798
ENSMUSG00000028800.15	HDAC1	ENSMUSG00000028800
ENSMUSG00000028801.14	STPG1	ENSMUSG00000028801
ENSMUSG00000028803.18	NIPAL3	ENSMUSG00000028803
ENSMUSG00000028804.19	CSMD2	ENSMUSG00000028804
ENSMUSG00000028820.13	SFPQ	ENSMUSG00000028820
ENSMUSG00000028821.8	SYF2	ENSMUSG00000028821
ENSMUSG00000028822.11	TMEM50A	ENSMUSG00000028822
ENSMUSG00000028826.14	TMEM57	ENSMUSG00000028826
ENSMUSG00000028832.11	STMN1	ENSMUSG00000028832
ENSMUSG00000028833.13	NCDN	ENSMUSG00000028833
ENSMUSG00000028834.13	TRIM63	ENSMUSG00000028834
ENSMUSG00000028836.14	SLC30A2	ENSMUSG00000028836
ENSMUSG00000028837.8	PSMB2	ENSMUSG00000028837
ENSMUSG00000028838.11	EXTL1	ENSMUSG00000028838
ENSMUSG00000028841.14	CNKSR1	ENSMUSG00000028841
ENSMUSG00000028842.15	AGO3	ENSMUSG00000028842
ENSMUSG00000028843.8	SH3BGRL3	ENSMUSG00000028843
ENSMUSG00000028845.15	TEKT2	ENSMUSG00000028845
ENSMUSG00000028847.8	TRAPPC3	ENSMUSG00000028847
ENSMUSG00000028848.13	GPN2	ENSMUSG00000028848
ENSMUSG00000028849.17	MAP7D1	ENSMUSG00000028849
ENSMUSG00000028850.2	GPATCH3	ENSMUSG00000028850
ENSMUSG00000028851.6	NUDC	ENSMUSG00000028851
ENSMUSG00000028854.9	SLC9A1	ENSMUSG00000028854
ENSMUSG00000028857.16	TMEM222	ENSMUSG00000028857
ENSMUSG00000028859.14	CSF3R	ENSMUSG00000028859
ENSMUSG00000028860.13	SYTL1	ENSMUSG00000028860
ENSMUSG00000028861.13	MRPS15	ENSMUSG00000028861
ENSMUSG00000028862.6	MAP3K6	ENSMUSG00000028862
ENSMUSG00000028863.13	MEAF6	ENSMUSG00000028863
ENSMUSG00000028864.7	HGF	ENSMUSG00000028864
ENSMUSG00000028865.13	CD164L2	ENSMUSG00000028865
ENSMUSG00000028868.13	WASF2	ENSMUSG00000028868
ENSMUSG00000028869.13	GNL2	ENSMUSG00000028869
ENSMUSG00000028871.7	RSPO1	ENSMUSG00000028871
ENSMUSG00000028873.16	CDCA8	ENSMUSG00000028873
ENSMUSG00000028874.14	FGR	ENSMUSG00000028874
ENSMUSG00000028878.11	FAM76A	ENSMUSG00000028878
ENSMUSG00000028879.4	STX12	ENSMUSG00000028879
ENSMUSG00000028882.13	PPP1R8	ENSMUSG00000028882
ENSMUSG00000028883.17	SEMA3A	ENSMUSG00000028883
ENSMUSG00000028884.14	RPA2	ENSMUSG00000028884
ENSMUSG00000028885.8	SMPDL3B	ENSMUSG00000028885
ENSMUSG00000028889.17	YRDC	ENSMUSG00000028889
ENSMUSG00000028890.13	MTF1	ENSMUSG00000028890
ENSMUSG00000028893.8	SESN2	ENSMUSG00000028893
ENSMUSG00000028894.18	INPP5B	ENSMUSG00000028894
ENSMUSG00000028896.13	RCC1	ENSMUSG00000028896
ENSMUSG00000028898.15	TRNAU1AP	ENSMUSG00000028898
ENSMUSG00000028899.11	TAF12	ENSMUSG00000028899
ENSMUSG00000028901.13	GMEB1	ENSMUSG00000028901
ENSMUSG00000028902.4	SF3A3	ENSMUSG00000028902
ENSMUSG00000028906.16	EPB41	ENSMUSG00000028906
ENSMUSG00000028907.7	UTP11L	ENSMUSG00000028907
ENSMUSG00000028909.17	PTPRU	ENSMUSG00000028909
ENSMUSG00000028910.12	MECR	ENSMUSG00000028910
ENSMUSG00000028911.16	SRSF4	ENSMUSG00000028911
ENSMUSG00000028914.13	CASP9	ENSMUSG00000028914
ENSMUSG00000028917.14	PLEKHM2	ENSMUSG00000028917
ENSMUSG00000028919.11	ARHGEF19	ENSMUSG00000028919
ENSMUSG00000028920.9	FBXO42	ENSMUSG00000028920
ENSMUSG00000028923.14	NECAP2	ENSMUSG00000028923
ENSMUSG00000028926.15	CDK14	ENSMUSG00000028926
ENSMUSG00000028927.6	PADI2	ENSMUSG00000028927
ENSMUSG00000028931.11	KCNAB2	ENSMUSG00000028931
ENSMUSG00000028932.7	PSMC2	ENSMUSG00000028932
ENSMUSG00000028933.11	XRCC2	ENSMUSG00000028933
ENSMUSG00000028936.15	RPL22	ENSMUSG00000028936
ENSMUSG00000028937.14	ACOT7	ENSMUSG00000028937
ENSMUSG00000028938.9	GALNTL5	ENSMUSG00000028938
ENSMUSG00000028943.18	ESPN	ENSMUSG00000028943
ENSMUSG00000028944.14	PRKAG2	ENSMUSG00000028944
ENSMUSG00000028945.9	RHEB	ENSMUSG00000028945
ENSMUSG00000028946.6	HES3	ENSMUSG00000028946
ENSMUSG00000028948.16	NOL9	ENSMUSG00000028948
ENSMUSG00000028949.13	SMARCD3	ENSMUSG00000028949
ENSMUSG00000028950.3	TAS1R1	ENSMUSG00000028950
ENSMUSG00000028952.12	ZBTB48	ENSMUSG00000028952
ENSMUSG00000028953.10	ABCF2	ENSMUSG00000028953
ENSMUSG00000028954.11	NUB1	ENSMUSG00000028954
ENSMUSG00000028955.3	VAMP3	ENSMUSG00000028955
ENSMUSG00000028957.12	PER3	ENSMUSG00000028957
ENSMUSG00000028958.14	TMUB1	ENSMUSG00000028958
ENSMUSG00000028960.18	UBE4B	ENSMUSG00000028960
ENSMUSG00000028961.15	PGD	ENSMUSG00000028961
ENSMUSG00000028964.14	PARK7	ENSMUSG00000028964
ENSMUSG00000028965.13	TNFRSF9	ENSMUSG00000028965
ENSMUSG00000028967.10	ERRFI1	ENSMUSG00000028967
ENSMUSG00000028969.10	CDK5	ENSMUSG00000028969
ENSMUSG00000028971.4	CORT	ENSMUSG00000028971
ENSMUSG00000028973.18	ABCB8	ENSMUSG00000028973
ENSMUSG00000028975.16	PEX14	ENSMUSG00000028975
ENSMUSG00000028976.10	SLC2A5	ENSMUSG00000028976
ENSMUSG00000028977.16	CASZ1	ENSMUSG00000028977
ENSMUSG00000028978.12	NOS3	ENSMUSG00000028978
ENSMUSG00000028980.14	H6PD	ENSMUSG00000028980
ENSMUSG00000028982.9	SLC25A33	ENSMUSG00000028982
ENSMUSG00000028986.12	KLHL7	ENSMUSG00000028986
ENSMUSG00000028988.13	CTNNBIP1	ENSMUSG00000028988
ENSMUSG00000028989.3	ANGPTL7	ENSMUSG00000028989
ENSMUSG00000028990.13	LZIC	ENSMUSG00000028990
ENSMUSG00000028991.15	MTOR	ENSMUSG00000028991
ENSMUSG00000028992.13	NMNAT1	ENSMUSG00000028992
ENSMUSG00000028995.14	FAM126A	ENSMUSG00000028995
ENSMUSG00000028998.6	TOMM7	ENSMUSG00000028998
ENSMUSG00000028999.15	RINT1	ENSMUSG00000028999
ENSMUSG00000029003.11	MAD2L2	ENSMUSG00000029003
ENSMUSG00000029004.15	KMT2E	ENSMUSG00000029004
ENSMUSG00000029005.4	DRAXIN	ENSMUSG00000029005
ENSMUSG00000029007.8	AGTRAP	ENSMUSG00000029007
ENSMUSG00000029009.17	MTHFR	ENSMUSG00000029009
ENSMUSG00000029012.11	ORC5	ENSMUSG00000029012
ENSMUSG00000029014.14	DNAJC2	ENSMUSG00000029014
ENSMUSG00000029015.9	SLC26A5	ENSMUSG00000029015
ENSMUSG00000029016.13	CLCN6	ENSMUSG00000029016
ENSMUSG00000029017.13	PMPCB	ENSMUSG00000029017
ENSMUSG00000029020.13	MFN2	ENSMUSG00000029020
ENSMUSG00000029022.18	MIIP	ENSMUSG00000029022
ENSMUSG00000029027.8	DFFB	ENSMUSG00000029027
ENSMUSG00000029028.14	LRRC47	ENSMUSG00000029028
ENSMUSG00000029029.14	WRAP73	ENSMUSG00000029029
ENSMUSG00000029032.12	ARHGEF16	ENSMUSG00000029032
ENSMUSG00000029033.16	ACAP3	ENSMUSG00000029033
ENSMUSG00000029036.18	ATAD3A	ENSMUSG00000029036
ENSMUSG00000029038.9	SSU72	ENSMUSG00000029038
ENSMUSG00000029047.13	PEX10	ENSMUSG00000029047
ENSMUSG00000029048.3	RER1	ENSMUSG00000029048
ENSMUSG00000029049.14	MORN1	ENSMUSG00000029049
ENSMUSG00000029050.15	SKI	ENSMUSG00000029050
ENSMUSG00000029053.16	PRKCZ	ENSMUSG00000029053
ENSMUSG00000029054.8	GABRD	ENSMUSG00000029054
ENSMUSG00000029055.17	PLCH2	ENSMUSG00000029055
ENSMUSG00000029056.13	PANK4	ENSMUSG00000029056
ENSMUSG00000029060.17	MIB2	ENSMUSG00000029060
ENSMUSG00000029064.15	GNB1	ENSMUSG00000029064
ENSMUSG00000029066.12	MRPL20	ENSMUSG00000029066
ENSMUSG00000029068.16	CCNL2	ENSMUSG00000029068
ENSMUSG00000029070.9	MXRA8	ENSMUSG00000029070
ENSMUSG00000029071.16	DVL1	ENSMUSG00000029071
ENSMUSG00000029072.3	TAS1R3	ENSMUSG00000029072
ENSMUSG00000029075.6	TNFRSF4	ENSMUSG00000029075
ENSMUSG00000029076.14	SDF4	ENSMUSG00000029076
ENSMUSG00000029082.17	BST1	ENSMUSG00000029082
ENSMUSG00000029084.5	CD38	ENSMUSG00000029084
ENSMUSG00000029086.15	PROM1	ENSMUSG00000029086
ENSMUSG00000029088.16	KCNIP4	ENSMUSG00000029088
ENSMUSG00000029090.12	ADGRA3	ENSMUSG00000029090
ENSMUSG00000029093.14	SORCS2	ENSMUSG00000029093
ENSMUSG00000029094.12	AFAP1	ENSMUSG00000029094
ENSMUSG00000029095.17	ABLIM2	ENSMUSG00000029095
ENSMUSG00000029096.15	HTRA3	ENSMUSG00000029096
ENSMUSG00000029097.11	TRMT44	ENSMUSG00000029097
ENSMUSG00000029098.16	ACOX3	ENSMUSG00000029098
ENSMUSG00000029101.14	RGS12	ENSMUSG00000029101
ENSMUSG00000029102.9	HGFAC	ENSMUSG00000029102
ENSMUSG00000029103.16	LRPAP1	ENSMUSG00000029103
ENSMUSG00000029104.15	HTT	ENSMUSG00000029104
ENSMUSG00000029106.14	ADD1	ENSMUSG00000029106
ENSMUSG00000029108.14	PCDH7	ENSMUSG00000029108
ENSMUSG00000029110.13	RNF4	ENSMUSG00000029110
ENSMUSG00000029111.7	NELFA	ENSMUSG00000029111
ENSMUSG00000029112.5	NKX1-1	ENSMUSG00000029112
ENSMUSG00000029119.9	MAN2B2	ENSMUSG00000029119
ENSMUSG00000029120.10	PPP2R2C	ENSMUSG00000029120
ENSMUSG00000029121.15	CRMP1	ENSMUSG00000029121
ENSMUSG00000029122.11	EVC	ENSMUSG00000029122
ENSMUSG00000029123.8	STK32B	ENSMUSG00000029123
ENSMUSG00000029125.14	STX18	ENSMUSG00000029125
ENSMUSG00000029126.7	NSG1	ENSMUSG00000029126
ENSMUSG00000029128.12	RAB28	ENSMUSG00000029128
ENSMUSG00000029130.12	RNF32	ENSMUSG00000029130
ENSMUSG00000029131.14	DNAJB6	ENSMUSG00000029131
ENSMUSG00000029134.14	PLB1	ENSMUSG00000029134
ENSMUSG00000029135.10	FOSL2	ENSMUSG00000029135
ENSMUSG00000029136.9	RBKS	ENSMUSG00000029136
ENSMUSG00000029145.12	EIF2B4	ENSMUSG00000029145
ENSMUSG00000029146.14	SNX17	ENSMUSG00000029146
ENSMUSG00000029149.14	KRTCAP3	ENSMUSG00000029149
ENSMUSG00000029151.14	SLC30A3	ENSMUSG00000029151
ENSMUSG00000029153.11	OCIAD2	ENSMUSG00000029153
ENSMUSG00000029154.13	CWH43	ENSMUSG00000029154
ENSMUSG00000029156.11	SGCB	ENSMUSG00000029156
ENSMUSG00000029158.9	YIPF7	ENSMUSG00000029158
ENSMUSG00000029161.7	CGREF1	ENSMUSG00000029161
ENSMUSG00000029162.15	KHK	ENSMUSG00000029162
ENSMUSG00000029163.9	EMILIN1	ENSMUSG00000029163
ENSMUSG00000029165.16	AGBL5	ENSMUSG00000029165
ENSMUSG00000029166.14	MAPRE3	ENSMUSG00000029166
ENSMUSG00000029167.13	PPARGC1A	ENSMUSG00000029167
ENSMUSG00000029168.14	DPYSL5	ENSMUSG00000029168
ENSMUSG00000029169.11	DHX15	ENSMUSG00000029169
ENSMUSG00000029171.12	PGM1	ENSMUSG00000029171
ENSMUSG00000029173.12	SEPSECS	ENSMUSG00000029173
ENSMUSG00000029174.18	TBC1D1	ENSMUSG00000029174
ENSMUSG00000029175.17	SLC35F6	ENSMUSG00000029175
ENSMUSG00000029176.13	ANAPC4	ENSMUSG00000029176
ENSMUSG00000029177.9	CENPA	ENSMUSG00000029177
ENSMUSG00000029178.14	KLF3	ENSMUSG00000029178
ENSMUSG00000029179.14	ZCCHC4	ENSMUSG00000029179
ENSMUSG00000029185.14	FAM114A1	ENSMUSG00000029185
ENSMUSG00000029186.12	PI4K2B	ENSMUSG00000029186
ENSMUSG00000029188.14	SLC34A2	ENSMUSG00000029188
ENSMUSG00000029189.10	SEL1L3	ENSMUSG00000029189
ENSMUSG00000029191.16	RFC1	ENSMUSG00000029191
ENSMUSG00000029192.17	TBC1D14	ENSMUSG00000029192
ENSMUSG00000029193.7	CCKAR	ENSMUSG00000029193
ENSMUSG00000029195.10	KLB	ENSMUSG00000029195
ENSMUSG00000029196.9	TADA2B	ENSMUSG00000029196
ENSMUSG00000029198.3	GRPEL1	ENSMUSG00000029198
ENSMUSG00000029201.14	UGDH	ENSMUSG00000029201
ENSMUSG00000029202.12	PDS5A	ENSMUSG00000029202
ENSMUSG00000029203.16	UBE2K	ENSMUSG00000029203
ENSMUSG00000029204.7	RHOH	ENSMUSG00000029204
ENSMUSG00000029205.12	CHRNA9	ENSMUSG00000029205
ENSMUSG00000029206.13	NSUN7	ENSMUSG00000029206
ENSMUSG00000029209.15	GNPDA2	ENSMUSG00000029209
ENSMUSG00000029211.11	GABRA4	ENSMUSG00000029211
ENSMUSG00000029212.11	GABRB1	ENSMUSG00000029212
ENSMUSG00000029213.11	COMMD8	ENSMUSG00000029213
ENSMUSG00000029217.16	TEC	ENSMUSG00000029217
ENSMUSG00000029219.10	SLC10A4	ENSMUSG00000029219
ENSMUSG00000029221.15	SLC30A9	ENSMUSG00000029221
ENSMUSG00000029223.12	UCHL1	ENSMUSG00000029223
ENSMUSG00000029228.15	LNX1	ENSMUSG00000029228
ENSMUSG00000029229.8	CHIC2	ENSMUSG00000029229
ENSMUSG00000029231.15	PDGFRA	ENSMUSG00000029231
ENSMUSG00000029233.15	SRD5A3	ENSMUSG00000029233
ENSMUSG00000029234.13	TMEM165	ENSMUSG00000029234
ENSMUSG00000029235.14	PDCL2	ENSMUSG00000029235
ENSMUSG00000029236.4	NMU	ENSMUSG00000029236
ENSMUSG00000029238.11	CLOCK	ENSMUSG00000029238
ENSMUSG00000029245.16	EPHA5	ENSMUSG00000029245
ENSMUSG00000029246.14	PPAT	ENSMUSG00000029246
ENSMUSG00000029247.17	PAICS	ENSMUSG00000029247
ENSMUSG00000029250.5	POLR2B	ENSMUSG00000029250
ENSMUSG00000029254.16	STAP1	ENSMUSG00000029254
ENSMUSG00000029255.8	GNRHR	ENSMUSG00000029255
ENSMUSG00000029263.15	PIGG	ENSMUSG00000029263
ENSMUSG00000029265.4	DR1	ENSMUSG00000029265
ENSMUSG00000029267.17	MTF2	ENSMUSG00000029267
ENSMUSG00000029269.11	SULT1B1	ENSMUSG00000029269
ENSMUSG00000029275.17	GFI1	ENSMUSG00000029275
ENSMUSG00000029279.15	BRDT	ENSMUSG00000029279
ENSMUSG00000029282.3	AMTN	ENSMUSG00000029282
ENSMUSG00000029283.17	CDC7	ENSMUSG00000029283
ENSMUSG00000029286.12	ENAM	ENSMUSG00000029286
ENSMUSG00000029288.11	AMBN	ENSMUSG00000029288
ENSMUSG00000029291.11	RUFY3	ENSMUSG00000029291
ENSMUSG00000029304.14	SPP1	ENSMUSG00000029304
ENSMUSG00000029306.8	IBSP	ENSMUSG00000029306
ENSMUSG00000029307.7	DMP1	ENSMUSG00000029307
ENSMUSG00000029309.7	SPARCL1	ENSMUSG00000029309
ENSMUSG00000029310.13	NUDT9	ENSMUSG00000029310
ENSMUSG00000029311.16	HSD17B11	ENSMUSG00000029311
ENSMUSG00000029312.12	KLHL8	ENSMUSG00000029312
ENSMUSG00000029313.18	AFF1	ENSMUSG00000029313
ENSMUSG00000029319.8	COQ2	ENSMUSG00000029319
ENSMUSG00000029321.1	SLC10A6	ENSMUSG00000029321
ENSMUSG00000029322.12	PLAC8	ENSMUSG00000029322
ENSMUSG00000029326.13	ENOPH1	ENSMUSG00000029326
ENSMUSG00000029330.8	CDS1	ENSMUSG00000029330
ENSMUSG00000029334.14	PRKG2	ENSMUSG00000029334
ENSMUSG00000029335.5	BMP3	ENSMUSG00000029335
ENSMUSG00000029337.2	FGF5	ENSMUSG00000029337
ENSMUSG00000029338.13	ANTXR2	ENSMUSG00000029338
ENSMUSG00000029343.17	CRYBB1	ENSMUSG00000029343
ENSMUSG00000029344.14	TPST2	ENSMUSG00000029344
ENSMUSG00000029345.13	TFIP11	ENSMUSG00000029345
ENSMUSG00000029346.12	SRRD	ENSMUSG00000029346
ENSMUSG00000029348.11	ASPHD2	ENSMUSG00000029348
ENSMUSG00000029352.14	CRYBB3	ENSMUSG00000029352
ENSMUSG00000029359.13	TESC	ENSMUSG00000029359
ENSMUSG00000029361.18	NOS1	ENSMUSG00000029361
ENSMUSG00000029363.14	RFC5	ENSMUSG00000029363
ENSMUSG00000029364.15	WSB2	ENSMUSG00000029364
ENSMUSG00000029366.10	DCK	ENSMUSG00000029366
ENSMUSG00000029368.10	ALB	ENSMUSG00000029368
ENSMUSG00000029370.10	RASSF6	ENSMUSG00000029370
ENSMUSG00000029376.8	MTHFD2L	ENSMUSG00000029376
ENSMUSG00000029377.5	EREG	ENSMUSG00000029377
ENSMUSG00000029378.5	AREG	ENSMUSG00000029378
ENSMUSG00000029381.15	SHROOM3	ENSMUSG00000029381
ENSMUSG00000029385.14	CCNG2	ENSMUSG00000029385
ENSMUSG00000029387.10	GTF2H3	ENSMUSG00000029387
ENSMUSG00000029388.14	EIF2B1	ENSMUSG00000029388
ENSMUSG00000029389.17	DDX55	ENSMUSG00000029389
ENSMUSG00000029390.13	TMED2	ENSMUSG00000029390
ENSMUSG00000029392.12	RILPL1	ENSMUSG00000029392
ENSMUSG00000029394.11	CDK2AP1	ENSMUSG00000029394
ENSMUSG00000029401.8	RILPL2	ENSMUSG00000029401
ENSMUSG00000029402.8	SNRNP35	ENSMUSG00000029402
ENSMUSG00000029403.14	CDKL2	ENSMUSG00000029403
ENSMUSG00000029405.16	G3BP2	ENSMUSG00000029405
ENSMUSG00000029406.15	PITPNM2	ENSMUSG00000029406
ENSMUSG00000029407.10	USO1	ENSMUSG00000029407
ENSMUSG00000029408.13	ABCB9	ENSMUSG00000029408
ENSMUSG00000029410.11	PPEF2	ENSMUSG00000029410
ENSMUSG00000029413.14	NAAA	ENSMUSG00000029413
ENSMUSG00000029414.11	KNTC1	ENSMUSG00000029414
ENSMUSG00000029415.4	SDAD1	ENSMUSG00000029415
ENSMUSG00000029416.17	SLC15A4	ENSMUSG00000029416
ENSMUSG00000029417.9	CXCL9	ENSMUSG00000029417
ENSMUSG00000029420.12	RIMBP2	ENSMUSG00000029420
ENSMUSG00000029422.14	RSRC2	ENSMUSG00000029422
ENSMUSG00000029423.10	PIWIL1	ENSMUSG00000029423
ENSMUSG00000029426.8	SCARB2	ENSMUSG00000029426
ENSMUSG00000029428.13	STX2	ENSMUSG00000029428
ENSMUSG00000029432.12	GBAS	ENSMUSG00000029432
ENSMUSG00000029433.14	DIABLO	ENSMUSG00000029433
ENSMUSG00000029434.12	VPS33A	ENSMUSG00000029434
ENSMUSG00000029436.9	MMP17	ENSMUSG00000029436
ENSMUSG00000029438.9	BCL7A	ENSMUSG00000029438
ENSMUSG00000029439.14	SFSWAP	ENSMUSG00000029439
ENSMUSG00000029445.13	HPD	ENSMUSG00000029445
ENSMUSG00000029446.14	PSPH	ENSMUSG00000029446
ENSMUSG00000029447.11	CCT6A	ENSMUSG00000029447
ENSMUSG00000029449.11	RHOF	ENSMUSG00000029449
ENSMUSG00000029452.18	TMEM116	ENSMUSG00000029452
ENSMUSG00000029454.15	MAPKAPK5	ENSMUSG00000029454
ENSMUSG00000029455.14	ALDH2	ENSMUSG00000029455
ENSMUSG00000029456.12	ACAD10	ENSMUSG00000029456
ENSMUSG00000029458.14	BRAP	ENSMUSG00000029458
ENSMUSG00000029461.17	FAM168A	ENSMUSG00000029461
ENSMUSG00000029462.18	VPS29	ENSMUSG00000029462
ENSMUSG00000029464.10	GPN3	ENSMUSG00000029464
ENSMUSG00000029465.14	ARPC3	ENSMUSG00000029465
ENSMUSG00000029466.11	ANAPC7	ENSMUSG00000029466
ENSMUSG00000029467.15	ATP2A2	ENSMUSG00000029467
ENSMUSG00000029468.17	P2RX7	ENSMUSG00000029468
ENSMUSG00000029469.14	IFT81	ENSMUSG00000029469
ENSMUSG00000029470.15	P2RX4	ENSMUSG00000029470
ENSMUSG00000029471.13	CAMKK2	ENSMUSG00000029471
ENSMUSG00000029472.13	ANAPC5	ENSMUSG00000029472
ENSMUSG00000029474.7	RNF34	ENSMUSG00000029474
ENSMUSG00000029477.14	MORN3	ENSMUSG00000029477
ENSMUSG00000029478.16	NCOR2	ENSMUSG00000029478
ENSMUSG00000029480.13	DHX37	ENSMUSG00000029480
ENSMUSG00000029482.4	AACS	ENSMUSG00000029482
ENSMUSG00000029484.12	ANXA3	ENSMUSG00000029484
ENSMUSG00000029486.13	MRPL1	ENSMUSG00000029486
ENSMUSG00000029491.7	PDE6B	ENSMUSG00000029491
ENSMUSG00000029500.16	PGAM5	ENSMUSG00000029500
ENSMUSG00000029501.14	ANKLE2	ENSMUSG00000029501
ENSMUSG00000029502.14	GOLGA3	ENSMUSG00000029502
ENSMUSG00000029503.16	P2RX2	ENSMUSG00000029503
ENSMUSG00000029504.5	DDX51	ENSMUSG00000029504
ENSMUSG00000029505.17	EP400	ENSMUSG00000029505
ENSMUSG00000029507.16	PUS1	ENSMUSG00000029507
ENSMUSG00000029510.15	GPC2	ENSMUSG00000029510
ENSMUSG00000029512.11	ULK1	ENSMUSG00000029512
ENSMUSG00000029513.14	PRKAB1	ENSMUSG00000029513
ENSMUSG00000029516.19	CIT	ENSMUSG00000029516
ENSMUSG00000029518.15	RAB35	ENSMUSG00000029518
ENSMUSG00000029521.7	CHEK2	ENSMUSG00000029521
ENSMUSG00000029522.12	PLA2G1B	ENSMUSG00000029522
ENSMUSG00000029524.16	SIRT4	ENSMUSG00000029524
ENSMUSG00000029528.18	PXN	ENSMUSG00000029528
ENSMUSG00000029530.16	CCR9	ENSMUSG00000029530
ENSMUSG00000029536.8	GATC	ENSMUSG00000029536
ENSMUSG00000029538.14	SRSF9	ENSMUSG00000029538
ENSMUSG00000029541.12	CYP2W1	ENSMUSG00000029541
ENSMUSG00000029544.16	CABP1	ENSMUSG00000029544
ENSMUSG00000029545.13	ACADS	ENSMUSG00000029545
ENSMUSG00000029546.12	UNCX	ENSMUSG00000029546
ENSMUSG00000029547.10	INTS1	ENSMUSG00000029547
ENSMUSG00000029550.11	SPPL3	ENSMUSG00000029550
ENSMUSG00000029551.13	PSMG3	ENSMUSG00000029551
ENSMUSG00000029552.19	TES	ENSMUSG00000029552
ENSMUSG00000029553.10	TFEC	ENSMUSG00000029553
ENSMUSG00000029554.15	MAD1L1	ENSMUSG00000029554
ENSMUSG00000029556.12	HNF1A	ENSMUSG00000029556
ENSMUSG00000029557.7	MRM2	ENSMUSG00000029557
ENSMUSG00000029560.12	SNX8	ENSMUSG00000029560
ENSMUSG00000029563.16	FOXP2	ENSMUSG00000029563
ENSMUSG00000029569.9	TMEM168	ENSMUSG00000029569
ENSMUSG00000029570.5	LFNG	ENSMUSG00000029570
ENSMUSG00000029571.14	TMEM106B	ENSMUSG00000029571
ENSMUSG00000029575.17	MMAB	ENSMUSG00000029575
ENSMUSG00000029576.17	RADIL	ENSMUSG00000029576
ENSMUSG00000029577.13	UBE3B	ENSMUSG00000029577
ENSMUSG00000029578.15	WIPI2	ENSMUSG00000029578
ENSMUSG00000029580.14	ACTB	ENSMUSG00000029580
ENSMUSG00000029581.14	FSCN1	ENSMUSG00000029581
ENSMUSG00000029591.14	UNG	ENSMUSG00000029591
ENSMUSG00000029592.11	USP30	ENSMUSG00000029592
ENSMUSG00000029594.12	RBM19	ENSMUSG00000029594
ENSMUSG00000029595.9	LHX5	ENSMUSG00000029595
ENSMUSG00000029596.13	SDSL	ENSMUSG00000029596
ENSMUSG00000029597.14	SDS	ENSMUSG00000029597
ENSMUSG00000029598.12	PLBD2	ENSMUSG00000029598
ENSMUSG00000029599.13	DDX54	ENSMUSG00000029599
ENSMUSG00000029600.10	RITA1	ENSMUSG00000029600
ENSMUSG00000029601.13	IQCD	ENSMUSG00000029601
ENSMUSG00000029602.11	RASAL1	ENSMUSG00000029602
ENSMUSG00000029603.15	DTX1	ENSMUSG00000029603
ENSMUSG00000029607.14	ANKRD61	ENSMUSG00000029607
ENSMUSG00000029608.10	RPH3A	ENSMUSG00000029608
ENSMUSG00000029610.13	AIMP2	ENSMUSG00000029610
